name,mode,uplink,downlink,beacon
LILACSAT-2,FM,144.350,437.200,
AO-27,FM,145.850,436.795,
AO-07,SSB,432.180-120,145.975-925,145.9775
AO-91,FM,435.250 +67Hz,145.960,
AO-92,FM,435.350 +67Hz / 1267.350 + 67Hz,145.880,
XW-2A,SSB,435.030-050,145.665-685,145.660
XW-2B,SSB,435.090-110,145.730-750,145.705
XW-2C,SSB,435.150-170,145.795-815,145.790
XW-2D,SSB,435.210-230,145.860-880,145.855
XW-2E,SSB,435.270-290,145.915-935,145.910
XW-2F,SSB,435.330-350,145.980-146.000,145.975
CAS-4A,SSB,435.210-230,145.860-880,145.855
CAS-4B,SSB,435.270-290,145.915-935,145.910
RS-44,SSB,145.965 MHz +/- 30 kHz,435.640 MHz +/- 30 kHz,
JO-97,SSB,145.900-930,435.880-910,145.840
SO-50,FM,145.850 +67Hz (74.4Hz),436.795,435.605 CW
AO-73,SSB,435.130-150,145.950-970,145.935 BPSK
EO-88,SSB,435.015-045,145.960-990,145.940 BPSK
ISS,FM,145.990 + 67Hz,437.800,
TO-108,SSB,435.270-290,145.915-935,145.910 CW
AO-109,SSB,145.860-890,435.760-790,435.750 1.2k bpsk
